"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Exposure to IPV during pregnancy","Sum score of inflammation Year 1","261","0","1","0.01","0.01","0.01 (-0.29, 0.3)","0.97"
"4","","Ln Th1/Th2 Year 1","259","0","1","-0.08","-0.01","0.07 (-0.07, 0.21)","0.34"
"5","","Ln Th1/Th17 Year 1","253","0","1","0.2","0.37","0.17 (0.02, 0.32)","0.03"
"6","","Ln Th1/IL-10 Year 1","260","0","1","1.05","1.12","0.07 (-0.06, 0.21)","0.31"
"7","","Ln Th2/IL-10 Year 1","260","0","1","1.18","1.2","0.02 (-0.16, 0.2)","0.8"
"8","","Ln Th17/IL-10 Year 1","254","0","1","0.71","0.63","-0.09 (-0.28, 0.11)","0.4"
"9","","Ln GM-CSF/IL-10 Year 1","261","0","1","1.79","1.71","-0.08 (-0.33, 0.17)","0.53"
"10","","Ln IL-2/IL-10 Year 1","256","0","1","-2.8","-2.97","-0.16 (-0.53, 0.21)","0.4"
"11","","Ln IFN-y Year 1","261","0","1","1.89","1.97","0.09 (-0.07, 0.24)","0.29"
"12","","Ln CRP Year 1","240","0","1","0.23","0.36","0.13 (-0.44, 0.71)","0.66"
"13","","Ln AGP Year 1","233","0","1","0.14","0.25","0.11 (-0.03, 0.24)","0.12"
"14","","Ln IGF-1 Year 1","234","0","1","3.26","3.3","0.04 (-0.17, 0.24)","0.75"
"15","","Sum score of inflammation Year 2","348","0","1","0.04","-0.12","-0.16 (-0.4, 0.08)","0.2"
"16","","Ln Th1/Th2 Year 2","305","0","1","-0.03","0.1","0.13 (-0.01, 0.28)","0.07"
"17","","Ln Th1/Th17 Year 2","302","0","1","0.52","0.57","0.05 (-0.08, 0.17)","0.46"
"18","","Ln Th1/IL-10 Year 2","344","0","1","1.35","1.43","0.09 (-0.06, 0.23)","0.26"
"19","","Ln Th2/IL-10 Year 2","344","0","1","1.3","1.31","0.01 (-0.15, 0.17)","0.89"
"20","","Ln Th17/IL-10 Year 2","340","0","1","0.97","1.07","0.1 (-0.06, 0.26)","0.23"
"21","","Ln GM-CSF/IL-10 Year 2","348","0","1","2.33","2.44","0.1 (-0.15, 0.36)","0.44"
"22","","Ln IL-2/IL-10 Year 2","297","0","1","-2.36","-2.42","-0.06 (-0.41, 0.29)","0.75"
"23","","Ln IFN-y Year 2","307","0","1","1.97","1.91","-0.06 (-0.23, 0.11)","0.47"
"24","","Ln CRP Year 2","655","0","1","-0.31","-0.41","-0.11 (-0.37, 0.16)","0.44"
"25","","Ln AGP Year 2","394","0","1","-0.24","-0.25","-0.01 (-0.01, -0.01)","0*"
"26","","Ln IGF-1 Year 2","363","0","1","3.9","3.94","0.04 (-0.08, 0.16)","0.53"
"27","","","","","","","","",""
"28","Exposure to IPV during first year of child's life","Sum score of inflammation Year 1","270","0","1","-0.03","0.05","0.07 (-0.18, 0.33)","0.59"
"29","","Ln Th1/Th2 Year 1","267","0","1","-0.07","-0.06","0.01 (-0.11, 0.14)","0.83"
"30","","Ln Th1/Th17 Year 1","261","0","1","0.23","0.27","0.05 (-0.09, 0.19)","0.53"
"31","","Ln Th1/IL-10 Year 1","269","0","1","1.06","1.11","0.04 (-0.07, 0.15)","0.47"
"32","","Ln Th2/IL-10 Year 1","268","0","1","1.28","1.31","0.03 (-0.12, 0.18)","0.7"
"33","","Ln Th17/IL-10 Year 1","262","0","1","0.79","0.78","-0.01 (-0.16, 0.15)","0.93"
"34","","Ln GM-CSF/IL-10 Year 1","270","0","1","2.08","2.06","-0.02 (-0.24, 0.2)","0.87"
"35","","Ln IL-2/IL-10 Year 1","265","0","1","-2.73","-2.74","-0.01 (-0.33, 0.3)","0.94"
"36","","Ln IFN-y Year 1","270","0","1","1.85","1.92","0.07 (-0.07, 0.2)","0.35"
"37","","Ln CRP Year 1","250","0","1","0.22","0.32","0.1 (-0.36, 0.55)","0.69"
"38","","Ln AGP Year 1","241","0","1","0.04","0.06","0.02 (-0.09, 0.14)","0.72"
"39","","Ln IGF-1 Year 1","242","0","1","3.28","3.29","0 (-0.18, 0.18)","0.99"
"40","","Sum score of inflammation Year 2","363","0","1","-0.03","-0.07","-0.04 (-0.24, 0.16)","0.7"
"41","","Ln Th1/Th2 Year 2","320","0","1","-0.04","-0.16","-0.12 (-0.24, 0.01)","0.06"
"42","","Ln Th1/Th17 Year 2","316","0","1","0.47","0.5","0.03 (-0.07, 0.14)","0.55"
"43","","Ln Th1/IL-10 Year 2","358","0","1","1.36","1.28","-0.07 (-0.2, 0.05)","0.25"
"44","","Ln Th2/IL-10 Year 2","359","0","1","1.24","1.27","0.03 (-0.1, 0.16)","0.68"
"45","","Ln Th17/IL-10 Year 2","354","0","1","0.94","0.86","-0.08 (-0.21, 0.05)","0.24"
"46","","Ln GM-CSF/IL-10 Year 2","365","0","1","2.33","2.36","0.04 (-0.18, 0.25)","0.76"
"47","","Ln IL-2/IL-10 Year 2","312","0","1","-2.41","-2.18","0.22 (-0.06, 0.51)","0.12"
"48","","Ln IFN-y Year 2","322","0","1","1.93","1.82","-0.11 (-0.25, 0.04)","0.14"
"49","","Ln CRP Year 2","683","0","1","-0.3","-0.42","-0.12 (-0.34, 0.11)","0.31"
"50","","Ln AGP Year 2","413","0","1","-0.2","-0.19","0.01 (-0.09, 0.12)","0.81"
"51","","Ln IGF-1 Year 2","379","0","1","3.91","3.91","0 (-0.09, 0.1)","0.95"
"52","","","","","","","","",""
"53","Cumulative lifetime exposure to IPV","Sum score of inflammation Year 2","643","0","1","0.03","0.06","0.04 (-0.04, 0.12)","0.38"
"54","","Ln Th1/Th2 Year 2","564","0","1","-0.05","-0.04","0.01 (-0.07, 0.1)","0.78"
"55","","Ln Th1/Th17 Year 2","558","0","1","0.27","0.32","0.06 (-0.02, 0.13)","0.16"
"56","","Ln Th1/IL-10 Year 2","637","0","1","1.39","1.37","-0.02 (-0.06, 0.03)","0.44"
"57","","Ln Th2/IL-10 Year 2","637","0","1","1.36","1.33","-0.03 (-0.14, 0.07)","0.56"
"58","","Ln Th17/IL-10 Year 2","630","0","1","0.94","0.91","-0.03 (-0.09, 0.02)","0.22"
"59","","Ln GM-CSF/IL-10 Year 2","650","0","1","2.28","2.39","0.11 (-0.04, 0.26)","0.14"
"60","","Ln IL-2/IL-10 Year 2","556","0","1","-2.38","-2.42","-0.04 (-0.24, 0.16)","0.69"
"61","","Ln IFN-y Year 2","567","0","1","1.93","1.99","0.05 (-0.05, 0.16)","0.33"
"62","","Ln CRP Year 2","1172","0","1","-0.33","-0.34","-0.01 (-0.17, 0.15)","0.9"
"63","","Ln AGP Year 2","691","0","1","-0.18","-0.18","0 (-0.07, 0.08)","0.99"
"64","","Ln IGF-1 Year 2","671","0","1","3.93","3.9","-0.03 (-0.07, 0)","0.05"
