"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","CES-D Score Year 1","Sum score of inflammation Year 1","582","6","16","-0.05","-0.05","0 (-0.1, 0.1)","0.97"
"4","","Ln Th1/Th2 Year 1","577","6","16","-0.02","-0.01","0 (-0.05, 0.06)","0.93"
"5","","Ln Th1/Th17 Year 1","571","6","16","0.31","0.42","0.12 (0.01, 0.22)","0.03"
"6","","Ln Th1/IL-10 Year 1","579","6","16","1.06","1.05","-0.02 (-0.07, 0.04)","0.56"
"7","","Ln Th2/IL-10 Year 1","570","6","16","0.96","0.94","-0.02 (-0.18, 0.13)","0.76"
"8","","Ln Th17/IL-10 Year 1","570","6","16","0.67","0.56","-0.11 (-0.26, 0.04)","0.15"
"9","","Ln GM-CSF/IL-10 Year 1","490","6","16","1.96","2.06","0.1 (-0.16, 0.35)","0.47"
"10","","Ln IL-2/IL-10 Year 1","571","6","16","-2.7","-2.6","0.1 (-0.02, 0.22)","0.12"
"11","","Ln IFN-y Year 1","582","6","16","1.9","1.9","-0.01 (-0.08, 0.07)","0.89"
"12","","Ln CRP Year 1","453","6","15","0.15","0.22","0.07 (-0.02, 0.16)","0.13"
"13","","Ln AGP Year 1","436","6","16","0.09","0.1","0.02 (-0.27, 0.3)","0.92"
"14","","Ln IGF-1 Year 1","434","6","15","3.51","3.58","0.07 (-0.06, 0.2)","0.29"
"15","","Sum score of inflammation Year 2","643","6","15","0.05","0.11","0.06 (-0.3, 0.43)","0.76"
"16","","Ln Th1/Th2 Year 2","583","6","16","-0.04","-0.02","0.02 (-0.03, 0.07)","0.47"
"17","","Ln Th1/Th17 Year 2","576","6","16","0.31","0.28","-0.03 (-0.13, 0.08)","0.61"
"18","","Ln Th1/IL-10 Year 2","637","6","15","1.37","1.35","-0.01 (-0.04, 0.01)","0.29"
"19","","Ln Th2/IL-10 Year 2","660","6","16","1.32","1.3","-0.02 (-0.05, 0.02)","0.33"
"20","","Ln Th17/IL-10 Year 2","630","6","15","0.87","0.88","0.01 (-1.48, 1.5)","0.99"
"21","","Ln GM-CSF/IL-10 Year 2","662","6","16","2.39","2.38","0 (-0.09, 0.08)","0.94"
"22","","Ln IL-2/IL-10 Year 2","575","6","16","-2.43","-2.44","-0.01 (-0.14, 0.11)","0.85"
"23","","Ln IFN-y Year 2","586","6","16","1.98","2","0.02 (-0.05, 0.08)","0.6"
"24","","Ln CRP Year 2","1213","6","16","-0.31","-0.27","0.04 (0, 0.09)","0.06"
"25","","Ln AGP Year 2","716","6","16","-0.18","-0.16","0.02 (0, 0.04)","0.12"
"26","","Ln IGF-1 Year 2","661","6","16","3.85","3.88","0.02 (-0.06, 0.11)","0.61"
"27","","","","","","","","",""
"28","Binary CES-D Score Year 1","Sum score of inflammation Year 1","593","0","1","0.01","-0.02","-0.03 (-0.21, 0.15)","0.78"
"29","","Ln Th1/Th2 Year 1","588","0","1","0.15","0.18","0.03 (-0.05, 0.11)","0.5"
"30","","Ln Th1/Th17 Year 1","583","0","1","0.4","0.39","-0.01 (-0.1, 0.08)","0.88"
"31","","Ln Th1/IL-10 Year 1","590","0","1","1.11","1.1","-0.01 (-0.11, 0.08)","0.81"
"32","","Ln Th2/IL-10 Year 1","588","0","1","0.92","0.86","-0.06 (-0.18, 0.05)","0.3"
"33","","Ln Th17/IL-10 Year 1","582","0","1","0.68","0.67","-0.01 (-0.14, 0.11)","0.84"
"34","","Ln GM-CSF/IL-10 Year 1","591","0","1","1.64","1.67","0.03 (-0.14, 0.2)","0.74"
"35","","Ln IL-2/IL-10 Year 1","582","0","1","-2.67","-2.58","0.09 (-0.12, 0.31)","0.4"
"36","","Ln IFN-y Year 1","593","0","1","2.03","2.05","0.02 (-0.08, 0.11)","0.73"
"37","","Ln CRP Year 1","541","0","1","-0.1","0.11","0.2 (-0.11, 0.51)","0.2"
"38","","Ln AGP Year 1","528","0","1","-0.11","-0.04","0.07 (-0.02, 0.15)","0.11"
"39","","Ln IGF-1 Year 1","527","0","1","3.64","3.55","-0.09 (-0.2, 0.03)","0.14"
"40","","Sum score of inflammation Year 2","643","0","1","0.08","-0.26","-0.35 (-0.66, -0.04)","0.03"
"41","","Ln Th1/Th2 Year 2","583","0","1","-0.04","0","0.04 (-0.05, 0.13)","0.42"
"42","","Ln Th1/Th17 Year 2","576","0","1","0.28","0.34","0.06 (-0.03, 0.15)","0.17"
"43","","Ln Th1/IL-10 Year 2","637","0","1","1.37","1.39","0.01 (-0.15, 0.18)","0.87"
"44","","Ln Th2/IL-10 Year 2","660","0","1","1.31","1.29","-0.03 (-0.14, 0.08)","0.65"
"45","","Ln Th17/IL-10 Year 2","630","0","1","0.91","0.92","0.01 (-0.35, 0.37)","0.96"
"46","","Ln GM-CSF/IL-10 Year 2","662","0","1","2.39","2.36","-0.03 (-0.2, 0.14)","0.74"
"47","","Ln IL-2/IL-10 Year 2","575","0","1","-2.41","-2.54","-0.14 (-0.36, 0.09)","0.23"
"48","","Ln IFN-y Year 2","586","0","1","2","1.97","-0.02 (-0.14, 0.09)","0.71"
"49","","Ln CRP Year 2","1213","0","1","-0.35","-0.86","-0.51 (-1.01, -0.01)","0.05"
"50","","Ln AGP Year 2","716","0","1","-0.18","-0.13","0.06 (-0.08, 0.2)","0.43"
"51","","Ln IGF-1 Year 2","661","0","1","3.88","3.88","0 (-0.08, 0.08)","0.95"
